Title	Assignees	Status
Getting code reviews by shell		In Progress
Make sure everyone can run the product (for example via readme doc)		In Progress
Make sure the team meeting ends at 14:00		In Progress
Long term planning such as: (notes in description)		In Progress
Assign non backlog homework tasks after team meeting		In Progress
SDs- agree to datadype passing to ensure consistent function of compnents		In Progress
Better communication regarding PR reviews - contact via Slack		In Progress
Define unit test to a more detailed granularity		In Progress
Slack workspace (Avi)		Done
SD Meeting		Done
Homework no assigned clearly - now assigned		Done
Figure out pipeline bug - for everyone		Done
Get to know expectations and requirements from Industry Partner		Done
Discuss with industry partner an optimal time for the meeting to take place		Done
No expericence in ML		Done
Coordinated PR Reviews		Done
