Title	Assignees	Status
Coordinated PR Reviews		In Progress
Make sure everyone can run the product (for example via readme doc)		In Progress
No expericence in ML		In Progress
Discuss with industry partner an optimal time for the meeting to take place		In Progress
Make sure the team meeting ends at 14:00		In Progress
Slack workspace (Avi)		Done
SD Meeting		Done
Homework no assigned clearly - now assigned		Done
Figure out pipeline bug - for everyone		Done
Get to know expectations and requirements from Industry Partner		Done
Long term planning such as: (notes in description)		Todo
